edinetCode	companyName.x	fiscalYear	NotesAdditionalInfo	NotesAdditionalInfoConsolidate	textCorona	withCorona	withDTA	withFA	lengthofNotes	secCode	industry	market	auditFirm	GAAP
E00109	三晃金属工業株式会社	第71期(自2019年４月１日至2020年３月31日)	(追加情報)新型コロナウイルス感染症の影響に関して、当社は、厳重な対策を実施した上で事業活動を継続しており、現時点においては、平常時と同水準の稼働率を維持しております。しかし、新型コロナウイルス感染症は経済、企業活動に広範な影響を与える事象であり、また、今後の広がり方や収束時期等を予想することは困難なことから、当事業年度末時点で入手可能な外部の情報等を踏まえて、2021年３月期の一定期間にわたり当該影響が継続するとの仮定のもと、繰延税金資産の回収可能性の判断等の会計上の見積りを行っております。	NA	NA	NA	NA	NA	NA	1972	建設業	東証一部	有限責任あずさ監査法人	日本基準
E00114	住友電設株式会社	第95期(自2019年4月1日至2020年3月31日)	NA	NA	NA	NA	NA	NA	NA	1949	建設業	東証一部	有限責任あずさ監査法人	日本基準
E00117	株式会社イチケン	第94期（自2019年４月１日至2020年３月31日）	"（追加情報）  （資産の保有目的の変更）   当事業年度において、保有目的の変更により、リース投資資産1,339百万円及び土地1,046百万円を販売用不動産へ振替えている。 "	NA	NA	NA	NA	NA	NA	1847	建設業	東証一部	有限責任監査法人トーマツ	日本基準
E00130	株式会社森組	第87期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1853	建設業	東証二部	有限責任あずさ監査法人	日本基準
E00148	矢作建設工業株式会社	第79期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1870	建設業	東証一部、名証一部	有限責任監査法人トーマツ	日本基準
E00168	日比谷総合設備株式会社	第55期(自2019年４月１日至2020年３月31日)	（追加情報）  業績連動型株式報酬制度   業績連動型株式報酬制度に関する注記については、連結財務諸表「注記事項（追加情報）」に同一の内容を記載しておりますので、注記を省略しております。   	（追加情報）  業績連動型株式報酬制度   １．取引の概要   当社は、取締役及び執行役員（社外取締役及び国内非居住者を除く。以下「取締役等」という。）を対象とした業績連動型株式報酬制度（以下「本制度」という。）を2017年８月より導入しております。   本制度では、役員報酬ＢＩＰ（BoardIncentivePlan）信託（以下「ＢＩＰ信託」という。）と称される仕組みを採用しております。ＢＩＰ信託とは、欧米の業績連動型株式報酬（PerformanceShare）及び譲渡制限付株式報酬（RestrictedStock）と同様に、役位や中期経営計画等の目標達成度等に応じて、当社株式及び当社株式の換価処分金相当額の金銭を取締役等に交付及び給付する制度であります。   ２．ＢＩＰ信託に残存する当社株式   ＢＩＰ信託に残存する当社株式を、ＢＩＰ信託における帳簿価額（付随費用の金額を除く。）により、純資産の部に自己株式として計上しております。当該自己株式の帳簿価額及び株式数は、前連結会計年度534百万円、222千株、当連結会計年度529百万円及び219千株であります。  	NA	NA	NA	NA	NA	1982	建設業	東証一部	有限責任あずさ監査法人	日本基準
E00175	北野建設株式会社	第75期（自平成31年４月１日至令和２年３月31日）	NA	NA	NA	NA	NA	NA	NA	1866	建設業	東証一部	監査法人Ａ＆Ａパートナーズ	日本基準
E00181	株式会社四電工	第69期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	1939	建設業	東証一部	有限責任監査法人トーマツ	日本基準
E00189	株式会社協和日成	第72期(自2019年４月１日至2020年３月31日)	"(追加情報)(退職給付信託の設定）当社は、第２四半期会計期間において、退職給付制度の更なる健全化を目的として、退職給付信託を設定し、現金600,000千円を拠出いたしました。これにより退職給付引当金が同額減少しております。"	NA	NA	NA	NA	NA	NA	1981	建設業	ＪＱＳ	藍監査法人	日本基準
E00194	ダイダン株式会社	第91期（自2019年４月１日至2020年３月31日）	"（追加情報） （役員報酬ＢＩＰ信託に係る取引について）  当社は、2019年５月９日開催の取締役会において、当社の取締役（社外取締役および国内非居住者を除きます。）および執行役員（国内非居住者を除きます。取締役と併せて、以下「取締役等」といいます。）を対象として、新たに業績連動型株式報酬制度（以下、「本制度」といいます。）を導入することを決議し、本制度の導入に関する議案を2019年６月25日開催の第90回定時株主総会に付議し、承認されました。本制度は、中長期的な業績の向上と企業価値増大への貢献意識を高めることを目的としております。   １．取引の概要  本制度では、役員報酬ＢＩＰ（BoardIncentivePlan）信託と称される仕組みを採用し、役位や業績目標の達成度等に応じて当社株式および当社株式の換価処分金相当額の金銭を、取締役等に交付および給付するものです。当事業年度より本制度を開始しております。    ２．信託に残存する当社株式   本信託に残存する当社株式を、信託における帳簿価額（付随費用を除く）により純資産の部に自己株式として計上しております。当事業年度末における当該自己株式の帳簿価額および株式数は303百万円および150,000株であります。  "	"（追加情報） （役員報酬ＢＩＰ信託に係る取引について）  当社は、2019年５月９日開催の取締役会において、当社の取締役（社外取締役および国内非居住者を除きます。）および執行役員（国内非居住者を除きます。取締役と併せて、以下「取締役等」といいます。）を対象として、新たに業績連動型株式報酬制度（以下、「本制度」といいます。）を導入することを決議し、本制度の導入に関する議案を2019年６月25日開催の第90回定時株主総会に付議し、承認されました。本制度は、中長期的な業績の向上と企業価値増大への貢献意識を高めることを目的としております。   １．取引の概要  本制度では、役員報酬ＢＩＰ（BoardIncentivePlan）信託と称される仕組みを採用し、役位や業績目標の達成度等に応じて当社株式および当社株式の換価処分金相当額の金銭を、取締役等に交付および給付するものです。当連結会計年度より本制度を開始しております。    ２．信託に残存する当社株式   本信託に残存する当社株式を、信託における帳簿価額（付随費用を除く）により純資産の部に自己株式として計上しております。当連結会計年度末における当該自己株式の帳簿価額および株式数は303百万円および150,000株であります。  "	NA	NA	NA	NA	NA	1980	建設業	東証一部	有限責任あずさ監査法人	日本基準
E00204	日本基礎技術株式会社	第67期（自平成31年４月１日至令和２年３月31日）	NA	NA	NA	NA	NA	NA	NA	1914	建設業	東証一部	太陽有限責任監査法人	日本基準
E00225	株式会社テクノ菱和	第71期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	1965	建設業	東証二部	有限責任監査法人トーマツ	日本基準
E00227	新日本空調株式会社	第51期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	1952	建設業	東証一部	有限責任監査法人トーマツ	日本基準
E00232	株式会社テノックス	第50期（自2019年4月1日至2020年3月31日）	（追加情報）  （従業員等に信託を通じて自社の株式を交付する取引）  従業員に信託を通じて自社の株式を交付する取引に関する注記については、連結財務諸表「注記事項（追加情報）」に同一の内容を記載しておりますので、注記を省略しております。 	"（追加情報）  （従業員等に信託を通じて自社の株式を交付する取引）  当社は、2016年2月5日開催の取締役会決議に基づき、従業員インセンティブプラン「株式給付信託（Ｊ－ＥＳＯＰ）」（以下「本制度」といいます。）を2016年3月2日より導入しております。  (1)取引の概要 本制度は、予め当社が定めた株式給付規程に基づき、一定の要件を満たした当社の従業員に対し当社株式を給付する仕組みです。  当社は、従業員に対し個人の貢献度等に応じてポイントを付与し、一定の条件により受給権の取得をしたときに当該付与ポイントに相当する当社株式を給付します。従業員に対し給付する株式については、予め信託設定した金銭により将来分も含め取得し、信託財産として分別管理するものとします。   (2)信託に残存する自社の株式  株式給付信託口が保有する当社株式は、連結貸借対照表の純資産の部に自己株式として計上しております。当該自己株式の帳簿価額及び株式数は、前連結会計年度末72,899千円及び107,680株、当連結会計年度末72,623千円及び107,273株であります。  "	NA	NA	NA	NA	NA	1905	建設業	ＪＱＳ	有限責任あずさ監査法人	日本基準
E00238	株式会社富士ピー・エス	第68期（自2019年４月１日至2020年３月31日）	【追加情報】 （取締役に対する株式報酬制度） 「第５経理の状況１連結財務諸表等追加情報」に同一の内容を記載しているため、注記を省略しております。 	【追加情報】 （取締役に対する株式報酬制度） 当社は、当社取締役（社外取締役を除く）の報酬と当社の株式価値の連動性をより明確にし、取締役が株価の変動による利益・リスクを株主の皆様と共有することで、中長期的な業績の向上と企業価値の増大に貢献する意識を高めることを目的として、取締役に対する株式報酬制度を導入しております。 なお、当社と委任契約を締結している執行役員に対しても、当社取締役に対するものと同様の株式報酬制度を導入しております。 （１）取引の概要 本制度は、当社が金銭を拠出することにより設定する信託が当社株式を取得し、当社が各取締役に付与するポイントの数に相当する数の当社株式が本信託を通じて各取締役に対して交付されるという株式報酬制度です。 なお、取締役が当社株式の交付を受ける時期は、原則として取締役の退任時です。 また、上記の連結会計年度末の負担見込額については、株式給付引当金として計上しております。 （２）信託に残存する自社の株式 信託に残存する当社株式を、信託における帳簿価額（付随費用の金額を除く）により純資産の部に自己株式として計上しております。当該自己株式の帳簿価額及び株式数は、当連結会計期間末84百万円、125千株であります。 	NA	NA	NA	NA	NA	1848	建設業	東証一部、福証上場	有限責任監査法人トーマツ	日本基準
E00250	第一建設工業株式会社	第78期（自2019年４月１日至2020年３月31日）	（追加情報）  （会計上の見積り）   新型コロナウイルス感染症の影響は、重要な工事現場の閉所・工期の延期等は生じていないことから当事業年度の財務諸表には重要な影響を及ぼすものではないと判断し、工事の進捗率や繰延税金資産の回収可能性、固定資産の減損等の会計上の見積りを行っております。   しかしながら、当感染症の終息時期を予測することは困難であり、会計上の見積りの不確実性により将来における実際の結果は、これらの見積りと異なる可能性があります。   	NA	NA	NA	NA	NA	NA	1799	建設業	ＪＱＳ	ＥＹ新日本有限責任監査法人	日本基準
E00253	株式会社藤木工務店	第83期(自平成31年４月１日至令和２年３月31日)	(追加情報)新型コロナウイルス感染症の拡大は、経済、企業活動に広範な影響を与える事象であり、当社の事業においても、民間建設工事に係る受注は３年程度減少するとの仮定に基づき、会計上の見積りを行っております。この結果、当事業年度の損益への影響はありませんが、新型コロナウイルス感染症の事業への影響が、上記仮定より長期化・深刻化した場合には、受注の更なる減少と収益性の悪化を招き、翌事業年度の財政状態、経営成績及びキャッシュ・フローの状況に影響を及ぼす可能性があります。	NA	NA	NA	NA	NA	NA	N/A	非公開	非上場	有限責任監査法人トーマツ	日本基準
E00255	株式会社大本組	第83期(自2019年４月１日至2020年３月31日)	(追加情報)（新型コロナウイルス感染症の影響に係る会計上の見積りについて）新型コロナウイルス感染症は、その収束時期等を正確に予測することが困難であり、今後の世界経済及び当社における市場環境の見通しは不透明感の強い状況にあります。当社では、外部情報等を総合的に勘案し、2021年３月期の一定期間にかけて当該状況が継続するものの、当社事業に係る影響は限定的であるとの仮定を置き、繰延税金資産の回収可能性等の会計上の見積りを行っております。	NA	NA	NA	NA	NA	NA	1793	建設業	ＪＱＳ	有限責任監査法人トーマツ	日本基準
E00260	株式会社ナカボーテック	第77期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	1787	建設業	ＪＱＳ	有限責任あずさ監査法人	日本基準
E00271	川崎設備工業株式会社	第93期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	1777	建設業	名証二部	有限責任あずさ監査法人	日本基準
E00288	クレアホールディングス株式会社	第56期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1757	建設業	東証二部	柴田公認会計士事務所、大瀧公認会計士事務所	日本基準
E00306	株式会社北弘電社	第70期(自平成31年４月１日至令和２年３月31日)	(追加情報)新型コロナウイルス感染症拡大は、経済・社会活動に大きな影響を及ぼしております。当社では、一部現場の短期的な休止や資材の納品遅れ等があったものの、その後速やかに現場作業が再開した結果、工事及び商品売上に与える影響は極めて軽微にとどまりました。このような状況の下、現時点で入手可能な情報に基づき、繰延税金資産の回収可能性及び固定資産の減損等の会計上の見積りを行っております。当社では、新型コロナウイルス感染症による経済・社会的な影響は令和２年度中に徐々に解消し、令和３年度には従来の状況に戻ると仮定しております。しかしながら、新型コロナウイルス感染症の影響は不確定要素が多く、今後の経済環境の変化等の影響により、工事の休止や資材の納品遅れ等が発生した場合は、翌事業年度の財政状態・経営成績に影響を及ぼす可能性があります。	NA	NA	NA	NA	NA	NA	1734	建設業	札証上場	ＥＹ新日本有限責任監査法人	日本基準
E00308	麻生フオームクリート株式会社	第59期(自2019年４月１日至2020年３月31日)	(追加情報)(新型コロナウィルス感染症拡大の影響に関する会計上の見積り)当社では、固定資産の減損会計や繰延税金資産の回収可能性等の会計上の見積りについて、財務諸表作成時において入手可能な情報に基づき実施しております。新型コロナウィルス感染症による当社事業への影響は、地域によってその影響や程度が異なりますが、2020年６月９日に発表された国土交通省による新型コロナウイルス感染症の拡大防止を目的に実施してきた直轄工事の一時中止措置の解消見通しから、2020年８月頃までには概ね回復する仮定に基づき会計上の見積りを行っております。	NA	NA	NA	NA	NA	NA	1730	建設業	ＪＱＳ	ＥＹ新日本有限責任監査法人	日本基準
E00312	株式会社ビーアールホールディングス	第18期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1726	建設業	東証一部	有限責任監査法人トーマツ	日本基準
E00313	日本電技株式会社	第61期（自2019年４月１日至2020年３月31日）	（追加情報）  （新型コロナウイルス感染症拡大に伴う会計上の見積りについて）   当事業年度における新型コロナウイルス感染症拡大による影響は、国内の一部地域において事業活動の停滞を余儀なくされたものの、当社の業績に与える影響は限定的でありました。   しかし、緊急事態宣言下での活動自粛要請に伴い一部工事の中断や延期が生じる等、足下の受注に影響が出始めており、今後の景気悪化に伴う設備投資の減少が予想されることから、特に既設工事や工場向け物件の受注・売上額の減少及び収益率の悪化が想定されるため、業績への影響を注視する必要があります。   このような状況は一定期間続くと想定しております。当社は、国内での感染拡大の収束時期については2020年度第２四半期から年度末程度であると予測しておりますが、その業績への影響は１年以上に亘るものと仮定した上で、繰延税金資産の回収可能性の判断や固定資産の減損の判定などの会計上の見積りを会計処理に反映しております。   なお、新型コロナウイルス感染症拡大による影響は不確定要素が多く、上記の仮定に状況変化が生じた場合は、翌事業年度の当社グループの財政状態、経営成績及びキャッシュ・フローの状況に影響を及ぼす可能性があります。 	NA	NA	NA	NA	NA	NA	1723	建設業	ＪＱＳ	ＥＹ新日本有限責任監査法人	日本基準
E00317	株式会社安藤・間	第７期(自2019年４月１日至2020年３月31日)	"(追加情報)（取締役及び執行役員に対する業績連動型株式報酬制度）（1）取引の概要当社は、取締役及び執行役員（社外取締役及び国内非居住者を除く。以下併せて「取締役等」という。）へのインセンティブプランとして、2016年度から株式報酬制度（以下「本制度」という。）を導入しています。本制度は当社の中長期的な業績の向上と企業価値の増大への貢献意識を高めることを目的とした、会社業績との連動性が高く、かつ透明性及び客観性の高い報酬制度です。具体的には、役員報酬ＢＩＰ（BoardIncentivePlan）信託（以下「ＢＩＰ信託」という。）と称される仕組みを採用し、役位及び業績目標の達成度等に応じて取締役等にＢＩＰ信託により取得した当社株式及びその換価処分金相当額の金銭を交付及び給付するものです。（2）信託に残存する当社株式信託に残存する当社株式を、信託における帳簿価額（付随費用の金額を除く。）により、純資産の部に自己株式として計上しています。当該自己株式の帳簿価額及び株式数は、前事業年度末208百万円及び364,751株、当事業年度末235百万円及び397,766株です。なお、2019年８月８日開催の取締役会決議により、信託期間の３年間延長及び追加信託の拠出を決定し、当事業年度において株式を追加取得したため、帳簿価額及び株式数が前事業年度末から増加しています。"	"(追加情報)(取締役及び執行役員に対する業績連動型株式報酬制度)(1)取引の概要当社は、取締役及び執行役員(社外取締役及び国内非居住者を除く。以下併せて「取締役等」という。)へのインセンティブプランとして、2016年度から株式報酬制度(以下「本制度」という。)を導入しています。本制度は当社の中長期的な業績の向上と企業価値の増大への貢献意識を高めることを目的とした、会社業績との連動性が高く、かつ透明性及び客観性の高い報酬制度です。具体的には、役員報酬ＢＩＰ(BoardIncentivePlan)信託(以下「ＢＩＰ信託」という。)と称される仕組みを採用し、役位及び業績目標の達成度等に応じて取締役等にＢＩＰ信託により取得した当社株式及びその換価処分金相当額の金銭を交付及び給付するものです。(2)信託に残存する当社株式信託に残存する当社株式を、信託における帳簿価額(付随費用の金額を除く。)により、純資産の部に自己株式として計上しています。当該自己株式の帳簿価額及び株式数は、前連結会計年度末208百万円及び364,751株、当連結会計年度末235百万円及び397,766株です。なお、2019年８月８日開催の取締役会決議により、信託期間の３年間延長及び追加信託の拠出を決定し、当連結会計年度において株式を追加取得したため、帳簿価額及び株式数が前連結会計年度末から増加しています。"	NA	NA	NA	NA	NA	1719	建設業	東証一部	有限責任あずさ監査法人	日本基準
E00322	コムシスホールディングス株式会社	第17期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1721	建設業	東証一部	仰星監査法人	日本基準
E00331	森永乳業株式会社	第97期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	2264	食料品	東証一部	ＥＹ新日本有限責任監査法人	日本基準
E00334	日本ハム株式会社	第75期(自2019年４月１日至2020年３月31日)	(追加情報)新型コロナウイルス感染症の影響については、当事業年度末から半年程度は継続し、その後は徐々に収束することを会計上の見積り及び仮定として検討しましたが、当事業年度の影響は軽微と判断しております。ただし、今後の状況変化によっては、翌事業年度の財政状態、経営成績に重要な影響を与える可能性があります。	NA	NA	NA	NA	NA	NA	2282	食料品	東証一部	有限責任監査法人トーマツ	IFRS基準
E00335	プリマハム株式会社	第73期(自2019年４月１日至2020年３月31日)	(追加情報)取締役及び執行役員に対する業績連動型株式報酬制度当社は、2018年６月28日開催の第71回定時株主総会の決議に基づき、中長期的な業績の向上と企業価値の増大に貢献する意識を高めるために、取締役（非常勤取締役を除く。）を対象とする株式報酬制度「株式給付信託（BBT）」を導入しております。なお、2019年５月13日開催の取締役会において、上記の対象者を「取締役」から「取締役及び取締役を兼務しない執行役員の一部」に変更することを決議しております。詳細は「第５経理の状況１連結財務諸表等注記事項追加情報」をご参照ください。	(追加情報)取締役及び執行役員に対する業績連動型株式報酬制度当社は、2018年６月28日開催の第71回定時株主総会の決議に基づき、中長期的な業績の向上と企業価値の増大に貢献する意識を高めるために、取締役（非常勤取締役を除く。）を対象とする株式報酬制度「株式給付信託（BBT）」（以下、「本制度」という。）を導入しております。なお、2019年５月13日開催の取締役会において、上記の対象者を「取締役」から「取締役及び取締役を兼務しない執行役員の一部」に変更することを決議しております。１取引の概要本制度は、当社が拠出する金銭を原資として当社株式が信託（以下、本制度に基づき設定される信託を「本信託」という。）を通じて非常勤取締役を除く取締役及び取締役を兼務しない執行役員の一部（以下、「取締役等」という。）に対して、当社が定める役員株式給付規定に従って、当社株式及び当社株式を時価で換算した金額相当の金銭（以下、「当社株式等」という。）が本信託を通じて給付される業績連動型株式報酬制度です。なお、取締役等が当社株式等の給付を受ける時期は、原則として取締役等の退任時となります。２信託に残存する自社の株式信託に残存する当社株式を、本信託における帳簿価額（付随費用の金額を除く。）により、純資産の部に自己株式として計上しております。なお、当該自己株式の帳簿価格及び株式数は、前連結会計年度216百万円、78千株、当連結会計年度243百万円、91千株であります。	NA	NA	NA	NA	NA	2281	食料品	東証一部	ＥＹ新日本有限責任監査法人	日本基準
E00343	滝沢ハム株式会社	第70期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	2293	食料品	ＪＱＳ	アーク有限責任監査法人	日本基準
E00347	日東富士製粉株式会社	第122期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	2003	食料品	東証一部	有限責任監査法人トーマツ	日本基準
E00356	三井製糖株式会社	第96期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	2109	食料品	東証一部	有限責任監査法人トーマツ	日本基準
E00361	塩水港精糖株式会社	第87期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	2112	食料品	東証一部	監査法人日本橋事務所	日本基準
E00371	井村屋グループ株式会社	第83期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	2209	食料品	東証一部、名証一部	五十鈴監査法人	日本基準
E00372	株式会社中村屋	第99期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	2204	食料品	東証一部	Ｍｏｏｒｅ至誠監査法人	日本基準
E00380	株式会社ブルボン	第144期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	2208	食料品	東証二部	太陽有限責任監査法人	日本基準
E00382	日糧製パン株式会社	第86期(自2019年４月１日至2020年３月31日)	(追加情報)(新型コロナウイルス感染症の感染拡大の影響に関する会計上の見積り)当社は、繰延税金資産の回収可能性や固定資産の減損会計等の会計上の見積りについては、財務諸表作成時において入手可能な情報に基づき実施しております。2021年３月期の業績見通しが新型コロナウイルスによる影響を現段階において合理的に算定することが困難な中、特に、将来キャッシュ・フローの予測が困難であることから、2020年３月期においては当社が期末日時点で把握できる最善の方法により行っております。但し、新型コロナウイルスによる影響は不確定要素が多く、翌事業年度以降の当社の財政状態、経営成績に影響を及ぼす可能性があります。	NA	NA	NA	NA	NA	NA	2218	食料品	札証上場	監査法人ハイビスカス	日本基準
E00387	寿スピリッツ株式会社	第68期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	2222	食料品	東証一部	有限責任監査法人トーマツ	日本基準
E00400	養命酒製造株式会社	第102期(自2019年４月１日至2020年３月31日)	"(追加情報)(役員報酬ＢＩＰ信託に係る取引について)当社は、取締役（監査等委員である取締役及び社外取締役を除く。以下同じ。）及び当社と委任契約を締結している執行役員（以下「取締役等」という。）を対象に、信託を通じて自社の株式を交付する取引を行っております。(1)取引の概要当社は、中長期的な業績の向上と企業価値の増大への貢献意識を高めることを目的として、会社業績との連動性が高く、かつ透明性・客観性の高い役員報酬制度として、業績連動型の株式報酬制度である「役員報酬ＢＩＰ信託」を導入しております。本制度では、取締役等のうち一定の要件を充足するものを受益者とし、当社が当社株式の取得資金を拠出することにより信託を設定します。当該信託は、予め定める株式交付規程に基づき取締役等に交付すると見込まれる数の当社株式を、当社からの第三者割当により取得します。その後、当該信託は、株式交付規程に従い、信託期間中の各事業年度の業績目標の達成度等に応じて、当社株式及び当社株式の換価処分金相当額の金銭を役員報酬として、毎年一定時期に交付及び給付いたします。(2)信託に残存する自社の株式信託に残存する当社株式を、信託における帳簿価額（付随費用の金額を除く。）により、純資産の部に自己株式として計上しております。当該自己株式の帳簿価額及び株式数は、前事業年度167,498千円、73,487株、当事業年度135,927千円、59,636株であります。（新型コロナウイルス感染症の感染拡大に伴う会計上の見積りについて）新型コロナウイルス感染症の国内外の感染拡大に伴い、直営の商業施設では臨時休業や営業時間の短縮、輸出では海外消費の落ち込み等、業績に影響する状況が生じています。当社では、2021年3月期の半ばまで当該影響が続くものとの仮定に基づき、繰延税金資産の回収可能性や固定資産の減損会計等の会計上の見積りを行っております。なお、当該見積りに用いた仮定は不確実性が高く、新型コロナウイルスの感染拡大の影響が今後長期化した場合や深刻化した場合には、次期以降の業績及び財政状態に影響を及ぼす可能性があります。"	NA	NA	NA	NA	NA	NA	2540	食料品	東証一部、名証一部	ＥＹ新日本有限責任監査法人	日本基準
E00405	モンデ酒造株式会社	第67期（自平成31年４月１日至令和２年３月31日）	NA	NA	NA	NA	NA	NA	NA	N/A	非公開	非上場	監査法人アイリス	日本基準
E00406	株式会社ヤクルト本社	第68期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	2267	食料品	東証一部	有限責任監査法人トーマツ	日本基準
E00430	ボーソー油脂株式会社	第92期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	2608	食料品	東証二部	東陽監査法人	日本基準
